podcast_title,podcast_url,episode_title,published_relative,published_at_est,duration_minutes,play_count,comment_count,like_count,completion_rate,data_source,subscribers,days_since_publish
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,143. 对何小鹏的第二次访谈：更大赌注、人形机器人Iron诞生、那场意外、技术剧变下CEO、GX和缝合怪,,2026-05-28 00:00:00.000,88,38586,140,89,,web_next_data,264010,4
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,142. 雨森的创投观察第2集：Harness、下一个字节、2026大机会和Stanley Druckenmiller,,2026-05-27 00:00:00.000,139,54087,77,422,,web_next_data,264010,5
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,141. Freda的投资札记第2集：Tokenmaxxing、把电机塞进蒸汽机、接力赛变篮球赛、孤独、人的连接,,2026-05-18 00:00:00.000,84,31923,109,205,,web_next_data,264010,14
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,140. 对姚顺宇的4小时访谈：请允许我小疯一下！在Anthropic和Gemini训模型、技术预测、英雄主义已过去,,2026-05-11 00:00:00.000,231,270761,717,2081,,web_next_data,264010,21
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,139. 【Agent的综述】和苏煜聊Agent技术史、OpenClaw Moment、边界的消弭和社会的辐射,,2026-05-01 00:00:00.000,138,67363,125,511,,web_next_data,264010,31
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,138. 对罗福莉3.5小时访谈：AI范式已然巨变！OpenClaw、Agent范式很吃后训练、卡的分配、组织平权,,2026-04-24 03:44:26.609,217,123595,315,817,,web_next_data,264010,38
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,137. 对洪乐潼的4小时访谈：AI for Math、把数学变成Lean、数学天书中的证明、直觉、被创造与被发现的,,2026-04-20 03:00:00.000,264,41277,135,436,,web_next_data,264010,42
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,136. 全球大模型季报第9集：和广密聊，Coding是AGI第二幕、硅谷御三家真相、模型正成为新一代OS,,2026-04-14 23:30:00.000,83,78860,246,696,,web_next_data,264010,47
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,135. 和自然选择创始人Tristan聊，Elys、赛博分身、灵魂、Context的获取与流动和AI社交网络,,2026-04-10 09:08:49.137,113,24578,206,130,,web_next_data,264010,52
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,134. 【数据的综述】和谢晨聊，新时代的石油、历史、版图、数据金字塔、定价与Recipe,,2026-03-30 00:00:00.000,158,39165,74,162,,web_next_data,264010,63
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,133. 对谢赛宁的7小时马拉松访谈：世界模型、逃出硅谷、AMI Labs、两次拒绝Ilya、杨立昆、李飞飞和42,,2026-03-16 04:01:08.137,405,158761,498,1391,,web_next_data,264010,77
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,132. 对星海图创始人高继扬的3小时访谈：鲶鱼、曾国藩、Waymo与Momenta的两面、一只狼与许华哲的离开,,2026-02-13 10:00:00.000,185,48904,67,301,,web_next_data,264010,108
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,131. 印奇出任阶跃星辰董事长的访谈：聪明人的诱惑、取舍、超长链路残酷淘汰赛、阶跃函数和超多元方程,,2026-01-26 01:30:13.125,121,52895,106,246,,web_next_data,264010,126
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,130. 张月光创业两年首次访谈：妙鸭不是AI Native产品、流程到上下文设计、One Way Door和乙女游戏,,2026-01-22 00:00:00.000,194,49585,176,663,,web_next_data,264010,130
张小珺Jùn｜商业访谈录,https://www.xiaoyuzhoufm.com/podcast/626b46ea9cbbf0451cf5a962,129. 全球大模型第一股的上市访谈，和智谱CEO张鹏聊：敢问路在何方？,,2026-01-08 01:09:14.477,147,135467,149,521,,web_next_data,264010,144
商业就是这样,https://www.xiaoyuzhoufm.com/podcast/6022a180ef5fdaddc30bb101,商业小样41 | ZARA创始人，竟然还是全球“最大地主”,,2026-05-31 23:00:00.000,6,10310,23,6,,web_next_data,779685,0
商业就是这样,https://www.xiaoyuzhoufm.com/podcast/6022a180ef5fdaddc30bb101,Vol.258 为什么到处都是泰兰尼斯的广告？,,2026-05-27 23:00:00.000,36,42186,171,78,,web_next_data,779685,4
商业就是这样,https://www.xiaoyuzhoufm.com/podcast/6022a180ef5fdaddc30bb101,城市就是这样19｜沈从乐：新一线“坦白局”,,2026-05-24 23:00:00.000,61,37015,96,85,,web_next_data,779685,7
